in s,C1 in V
-3.00001E+00,4.02798E-03
-2.99996E+00,3.65151E-03
-2.99991E+00,3.24575E-03
-2.99986E+00,2.84146E-03
-2.99981E+00,2.43862E-03
-2.99976E+00,2.06948E-03
-2.99971E+00,1.78530E-03
-2.99966E+00,1.36929E-03
-2.99961E+00,1.03970E-03
-2.99956E+00,6.80811E-04
-2.99951E+00,3.89307E-04
-2.99945E+00,1.37354E-04
-2.99940E+00,-1.17529E-04
-2.99935E+00,-3.60693E-04
-2.99930E+00,-5.33545E-04
-2.99925E+00,-6.71240E-04
-2.99920E+00,-8.42627E-04
-2.99915E+00,-9.51025E-04
-2.99910E+00,-1.01108E-03
-2.99905E+00,-1.13999E-03
-2.99900E+00,-1.12974E-03
-2.99895E+00,-1.12534E-03
-2.99890E+00,-1.17954E-03
-2.99885E+00,-1.21470E-03
-2.99880E+00,-1.19126E-03
-2.99875E+00,-1.19565E-03
-2.99870E+00,-1.15317E-03
-2.99865E+00,-1.08286E-03
-2.99860E+00,-1.06089E-03
-2.99855E+00,-1.07114E-03
-2.99850E+00,-1.00229E-03
-2.99845E+00,-9.86182E-04
-2.99840E+00,-9.67139E-04
-2.99835E+00,-9.52490E-04
-2.99830E+00,-9.05615E-04
-2.99825E+00,-8.90967E-04
-2.99819E+00,-9.01221E-04
-2.99814E+00,-9.23193E-04
-2.99809E+00,-9.18799E-04
-2.99804E+00,-9.26123E-04
-2.99799E+00,-8.47021E-04
-2.99794E+00,-8.41162E-04
-2.99789E+00,-8.13330E-04
-2.99784E+00,-7.43018E-04
-2.99779E+00,-6.22900E-04
-2.99774E+00,-5.01318E-04
-2.99769E+00,-3.48975E-04
-2.99764E+00,-2.59619E-04
-2.99759E+00,-1.95166E-04
-2.99754E+00,1.43066E-05
-2.99749E+00,1.76904E-04
-2.99744E+00,4.28857E-04
-2.99739E+00,6.41260E-04
-2.99734E+00,8.85889E-04
-2.99729E+00,1.18911E-03
-2.99724E+00,1.52456E-03
-2.99719E+00,1.83657E-03
-2.99714E+00,2.15444E-03
-2.99709E+00,2.47964E-03
-2.99704E+00,2.89126E-03
-2.99699E+00,3.29263E-03
-2.99693E+00,3.67935E-03
-2.99688E+00,4.05142E-03
-2.99683E+00,4.40298E-03
-2.99678E+00,4.72378E-03
-2.99673E+00,4.99771E-03
-2.99668E+00,5.36245E-03
-2.99663E+00,5.65249E-03
-2.99658E+00,5.91616E-03
-2.99653E+00,6.20474E-03
-2.99648E+00,6.47573E-03
-2.99643E+00,6.66177E-03
-2.99638E+00,6.85952E-03
-2.99633E+00,7.07339E-03
